,Class,Subclass,Condena,Location,Victims,Date murder,Date Detention,Victim Profile
0,Asesina,Asfixia eróticamente a su amante y le corta el pene y los testículos,Condenada a 6 años de prisión el 21 de diciembre de 1936. Puesta en libertad el 17 de mayo de 1941. Muere con posterioridad a 1970,"Tokio, Japón",1,18 de mayo de 1936,21 de mayo de 1936,28 de mayo de 1905
1,Homicida,¿Transexual?,"Ejecutada en la horca en la prisión de Strangeways, el 12 de enero de 1949","Lancashire, Inglaterra, Gran Bretaña",1,29 de agosto de 1948,1 de septiembre de 1948,1906
2,Asesina en serie,Envenenadora,Murió en 1928 en una Institución Mental,"Hartford, Estados Unidos (Connecticut)",5 +,1901 - 1914,1869,Personas mayores
3,Asesina,Crimen premeditado - Celos - Mató para evitar que la víctima pudiera tener una relación sentimental con otra mujer,Condenada a cadena perpetua el 13 de abril de 2015,"Mesa, Estados Unidos (Arizona)",1,4 de junio de 2008,15 de julio de 2008,9 de julio de 1980
4,Asesina,Infanticida,Condenada a cadena perpetua sin posibilidad de libertad condicional el 8 de septiembre de 2008,"Dayton, Estados Unidos (Ohio)",1,30 de agosto de 2005,27 de noviembre de 2006,29 de marzo de 1980
5,Asesina,"Infanticidio - Confesó que mató a los niños debido a su incapacidad para pagar las facturas y por temor al rechazo de su pareja sentimental, quien reconoció sus amenazas",Condenada a cadena perpetua por tres cargos de asesinato el 31 de marzo de 2006. Los expertos dijeron que no podían descartar que alguno de los bebés hubiera nacido muerto,"Graz, Austria",4,2000 - 2005,Junio de 2005,1972
6,Asesina,Robo,"Condenada a pena de muerte en febrero de 1903. Indultada. Permaneció en el penal de Alcalá de Henares hasta que, en 1937, en la zona republicana se abrieron las cárceles a los presos. Desde aquel momento no volvió a saberse más de ella","Madrid, España",1,22 de junio de 1902,8 de julio de 1902,1880
7,Asesina,Celos,Condenada a 30 años de prisión el 5 de noviembre de 2007,"Santo Domingo, República Dominicana",2,23 de marzo de 2007,2 de abril de 2007,1978
8,Asesina,Robo,Ejecutada en el garrote vil el sábado 19 de junio de 1890,"Madrid, España",1,1 de julio de 1888,2 de julio de 1888,1862
9,Asesina en serie,Envenenadora,Condenada a 84 años en prisión el 26 de septiembre de 2005,"Melilla, España",3,1990 / 2004,7 de junio de 2004,1969
10,Asesina,Los médicos forenses describieron el caso como «el caso de abuso físico más terrible del estado de Indiana»,Condenada a cadena perpetua sin posibilidad de libertad condicional el 24 de mayo de 1966. Sentencia modificada. Condenada de 18 años en prisión a cadena perpetua. Obtiene la libertad condicional el 4 de diciembre de 1985. Muere el 16 de junio de 1990,"Indianápolis, Estados Unidos (Indiana)",1,26 de octubre de 1965,26 de octubre de 1965,19 de septiembre de 1929
11,Asesina en serie,Envenenadora,Ejecutada por inyección letal el 2 de noviembre de 1984,"Robeson, Estados Unidos (Carolina del Norte)",5 - 7,1969 - 1978,13 de mayo de 1978,29 de octubre de 1932
12,Homicida,Parricida,Fue absuelta el 5 de julio de 1932,"Londres, Inglaterra, Gran Bretaña",1,31 de mayo de 1932,3 de junio de 1932,1905
13,Asesina en serie,Robos,Condenada a 759 años de prisión el 31 de marzo de 2008,"México, D. F., México",11 +,2002 - 2006,24 de enero de 2006,27 de diciembre de 1958
14,¿Asesina?,Envenenadora - Parricida,Fue absuelta el 17 de abril de 1886,"Londres, Inglaterra, Gran Bretaña",¿1?,1 de enero de 1886,1856,"Thomas Edwin Bartlett, de 40 años (su marido)"
15,Asesina,Canibalismo - Descuartizamiento,Condenada a 10 años de prisión en 1973. Puesta en libertad en noviembre de 1979,"Buenos Aires, Argentina",1,24 de marzo de 1973,28 de marzo de 1973,1911
16,Asesina,Secuestro - Tortura - Para cobrar el seguro de vida,Condenada a pena de muerte el 1 de septiembre de 1999. Ejecutada por inyección letal en Huntsville el 5 de febrero de 2014,"Houston, Estados Unidos (Texas)",1,25 de agosto de 1998,15 de mayo de 1954,"Louis «Buddy» Musso, de 59 años"
17,Asesina,Envenenadora - Fraude,Ejecutada en la horca el 20 de marzo de 1809,"Bramley, Inglaterra, Gran Bretaña",1,16 de mayo de 1807,Enero de 1809,1768
18,Asesina en serie,Robos,Fue ejecutada en la silla eléctrica el 8 de marzo de 1951,"Varios lugares, Estados Unidos (Illinois), Estados Unidos (Michigan), Estados Unidos (Nueva York)",4 +,1948 - 1949,28 de febrero de 1949,6 de mayo de 1919
19,Asesina,Envenenadora - Por provecho económico,Ejecutada en la guillotina el 23 de julio de 1908,"Brand, Sajonia, Alemania",1,13 de mayo de 1907,26 de junio de 1907,15 de septiembre de 1885
20,Homicida,Menor de edad (11),"Declarada culpable de ""asesinato en segundo grado debido a su falta de responsabilidad"" el 17 de diciembre de 1968, y sentenciada a prisión indefinida. Puesta en libertad en 1980","Inglaterra, Gran Bretaña",2,Mayo / Julio 1968,1 de agosto de 1968,26 de mayo de 1957
21,Infanticida,Parricida,Condenada a 35 años de prisión el 26 de noviembre de 2012. Sentencia rebajada a 20 años de prisión por el Tribunal Superior de Justicia de Andalucía el 22 de marzo de 2013,"Jaén, España",2,29 de septiembre de 2011,Mismo día,1976
22,Asesina en serie,¿Envenenadora?,Fue absuelta. Murió el de 15 febrero de 1980,"Loudun, Francia",¿13?,1927 - 1949,21 de julio de 1949,1896
23,Asesina,Parricida - Introdujo el cadáver en un baúl y lo envió por tren a Nancy,Condenada a 20 años de trabajos forzados el 21 de junio de 1922. Muere en 1930,"Paris, Francia",1 +,21 de julio de 1920,5 de agosto de 1920,25 de octubre de 1868
24,Asesina en masa,Envenenadora - Mató a a su marido y a otros 16 familiares porque la obligaron a casarse,En prisión a la espera de juicio,"Muzaffargarh, Pakistán",17,25 de octubre de 2017,Mismo día,1996
25,Asesina,Parricida - Envenenadora,Ejecutada en la horca el 6 de abril de 1752,"Inglaterra, Gran Bretaña",1,14 de agosto de 1751,14 de agosto de 1751,1719
