,Class,Subclass,Condena,Location,Victims,Date murder,Date Detention,Victim Profile
0,Asesino en serie,¿Envenenador?,Fue absuelto el 15 de abril de 1957. Murió el 4 de julio de 1983,"Eastbourne, Inglaterra, Gran Bretaña",0 - 163 +,1935 - 1956,1 de octubre de 1956,21 de enero de 1899
1,Asesino,"Descuartizamiento - «Disfrutaba manteniendo prácticas sexuales de dominación con mujeres sometidas a él e indefensas, incluso desmayadas o privadas del sentido»",Declarado «culpable» de «asesinato con alevosía» por un jurado el 23 de abril de 2015. Condenado a 38 años de prisión el 30 de abril de 2015,"Bilbao, España",2,Mayo - Junio 2013,2 de junio de 2013,1965
2,Asesino en serie,Extirpaba quirúrgicamente los ojos de sus víctimas,Condenado de 5 años de prisión a cadena perpetua el 18 de diciembre de 1991,"Dallas, Estados Unidos (Texas)",3,1990 - 1991,22 de marzo de 1991,10 de agosto de 1933
3,Asesino en serie,Violador - Torturador,Condenado a pena de muerte en California el 30 de marzo de 2010. Condenado a dos cadenas perpetuas en Nueva York el 7 de enero de 2013,"Varias, Estados Unidos (California), Estados Unidos (Nueva York)",7 - 50 +,1971 - 1979,27 de julio de 1979,23 de agosto de 1943
4,Asesino en serie,Robos,Ejecutado en el garrote vil el 1 de abril de 1906,"Peñaflor, Sevilla, España",6,1900 - 1904,19 de diciembre de 1904,1850
5,Asesino en serie,Violador en serie,Condenado a reclusión perpetua el 21 de febrero de 2002,"Varios lugares, Francia",5 +,1989 - 1997,5 de septiembre de 1997,20 de junio de 1968
6,Asesino en masa,12,Alexis murió en un tiroteo con la Policía el mismo día,"Navy Yard, Estados Unidos (Washington D.C.)",16 de septiembre de 2013,9 de mayo de 1979,"Michael Arnold, de 59 años / Martin Bodrog, de 53 / Arthur Daniels, de 51 / Sylvia Frasier, de 53 / Kathy Gaarde, de 62 / John Roger Johnson, de 73 / Mary Francis Knight, de 51 / Frank Kohler, de 50 / Vishnu Pandit, de 61 / Kenneth Bernard Proctor, de 46 / Gerald Read, de 58 / Richard Michael Ridgell, de 52",Arma de fuego (una escopeta Remington 870 express calibre 12)
7,Asesino,Mató a una niña de 13 años de la que decía estar enamorado y a un hombre de 39,Se suicida de un disparo el 22 de octubre de 2012,"El Salobral, Albacete, España",2,21 de octubre de 2012,1973,"Almudena Márquez, de 13 años, y Agustín Delicado, de 39"
8,Asesino,Violador,Ejecutado en la horca el 19 de agosto de 1922,"Londres. Inglaterra, Gran Bretaña",1 +,22 de diciembre de 1921,29 de abril de 1922,1885
9,Asesino,Rivalidad profesional,Condenado a pena de muerte. Conmutada por reclusión en un psiquiátrico el 6 de noviembre de 1937. Fugado el 20 de julio de 1938. Recapturado el 19 de mayo de 1947. En libertad el 18 de septiembre de 1951,"Oxfordshire, Inglaterra, Gran Bretaña",1,19 de junio de 1937,22 de junio de 1937,1911
10,Asesino en masa,Suicidio frustrado - Aparcó su camioneta en las vías del tren y provocó un descarrilamiento,Condenado a 11 cadenas perpetuas el 20 de agosto de 2008,"Glendale, Estados Unidos (California)",11,26 de enero de 2005,Mismo día,26 de febrero de 1979
